Method2,,
File Name,Bird Vocalization,Heavy Activity
20190622_121000.WAV,1,1
20190622_142000.WAV,1,1
20190622_150000.WAV,0,0
20190622_160000.WAV,1,1
20190622_234000.WAV,0,0
20190623_132000.WAV,1,0
20190624_001000.WAV,1,1
20190615_160000.WAV,1,0
20190615_170000.WAV,0,0
20190615_190000.WAV,1,0
20190615_203000.WAV,0,0
20190615_211000.WAV,1,1
20190615_220000.WAV,0,0
20190615_231000.WAV,0,0
20190616_013000.WAV,1,0
20190616_092000.WAV,0,0
20190616_104000.WAV,0,0
20190616_110000.WAV,1,1
20190616_120000.WAV,0,0
20190616_130000.WAV,1,1
20190616_140000.WAV,0,0
20190616_150000.WAV,0,0
20190616_180000.WAV,1,1
20190618_000000.WAV,1,0
20190618_031000.WAV,0,0
20190619_072000.WAV,1,1
20190622_040000.WAV,1,0
20190622_062000.WAV,0,0
20190623_050000.WAV,0,0
20190623_080000.WAV,1,0
20190706_020000.WAV,0,0
20190615_212000.WAV,0,0
20190615_220000.WAV,1,1
20190616_003000.WAV,0,0
20190616_045000.WAV,1,1
20190616_112000.WAV,0,0
20190616_123000.WAV,1,1
20190616_130000.WAV,1,1
20190616_145000.WAV,0,0
20190616_163000.WAV,1,1
20190616_170000.WAV,0,0
20190616_181000.WAV,1,0
20190616_201000.WAV,0,0
20190617_024000.WAV,1,0
20190617_071000.WAV,0,0
20190617_083000.WAV,1,0
20190617_102000.WAV,1,1
20190617_150000.WAV,0,0
20190617_191000.WAV,1,1
20190618_095000.WAV,0,0
20190619_015000.WAV,1,0
20190620_033000.WAV,1,1
20190621_064000.WAV,1,1
20190622_050000.WAV,0,0
20190623_231000.WAV,1,1
20190610_023000.WAV,1,0
20190610_042000.WAV,0,0
20190610_075000.WAV,0,0
20190610_104000.WAV,1,1
20190610_115000.WAV,1,0
20190610_121000.WAV,0,0
20190610_130000.WAV,0,0
20190610_140000.WAV,1,1
20190610_181000.WAV,0,0
20190610_221000.WAV,1,1
20190611_004000.WAV,0,0
20190611_012000.WAV,1,0
